episode,episode_length,epsilon,timestamp,total_reward
178,40,0.9823566098532421,2026-01-14T19:56:08.275826,0.0
179,19,0.9822583741922568,2026-01-14T19:56:08.276825,0.0
180,32,0.9821601483548376,2026-01-14T19:56:08.276825,0.0
181,8,0.982061932340002,2026-01-14T19:56:08.276825,0.0
182,52,0.9819637261467681,2026-01-14T19:56:08.277825,0.0
183,13,0.9818655297741534,2026-01-14T19:56:08.277825,0.0
184,17,0.981767343221176,2026-01-14T19:56:08.277825,0.0
185,12,0.9816691664868539,2026-01-14T19:56:08.277825,0.0
186,23,0.9815709995702052,2026-01-14T19:56:08.277825,0.0
187,8,0.9814728424702482,2026-01-14T19:56:08.277825,0.0
188,12,0.9813746951860012,2026-01-14T19:56:08.278823,0.0
189,97,0.9812765577164826,2026-01-14T19:56:08.279825,0.0
190,28,0.9811784300607109,2026-01-14T19:56:08.279825,0.0
191,46,0.9810803122177049,2026-01-14T19:56:08.280816,0.0
192,16,0.9809822041864831,2026-01-14T19:56:08.280816,0.0
193,29,0.9808841059660645,2026-01-14T19:56:08.280816,0.0
194,56,0.9807860175554679,2026-01-14T19:56:08.281816,0.0
195,7,0.9806879389537123,2026-01-14T19:56:08.281816,0.0
196,69,0.9805898701598169,2026-01-14T19:56:08.282828,0.0
197,84,0.9804918111728009,2026-01-14T19:56:08.282828,0.0
198,16,0.9803937619916837,2026-01-14T19:56:08.283826,0.0
199,30,0.9802957226154846,2026-01-14T19:56:08.283826,0.0
200,19,0.980197693043223,2026-01-14T19:56:08.283826,0.0
201,21,0.9800996732739187,2026-01-14T19:56:08.283826,0.0
202,19,0.9800016633065913,2026-01-14T19:56:08.284826,0.0
203,29,0.9799036631402607,2026-01-14T19:56:08.284826,0.0
204,28,0.9798056727739467,2026-01-14T19:56:08.284826,0.0
205,37,0.9797076922066693,2026-01-14T19:56:08.285825,0.0
206,52,0.9796097214374486,2026-01-14T19:56:08.285825,0.0
207,41,0.9795117604653049,2026-01-14T19:56:08.286825,0.0
208,23,0.9794138092892584,2026-01-14T19:56:08.286825,0.0
