episode,episode_length,epsilon,loss,timestamp,total_reward
0,4,1.0,,2026-01-15T13:58:23.287353,0.0
1,15,0.995,,2026-01-15T13:58:23.288353,0.0
2,8,0.990025,,2026-01-15T13:58:23.288353,0.0
3,10,0.985074875,,2026-01-15T13:58:23.288353,0.0
4,6,0.9801495006250001,,2026-01-15T13:58:23.288353,0.0
5,11,0.9752487531218751,,2026-01-15T13:58:23.288353,0.0
6,7,0.9703725093562657,,2026-01-15T13:58:23.288353,0.0
7,5,0.9655206468094844,,2026-01-15T13:58:23.430632,0.0
8,7,0.960693043575437,,2026-01-15T13:58:23.443606,0.0
9,5,0.9558895783575597,,2026-01-15T13:58:23.457132,0.0
10,16,0.9511101304657719,,2026-01-15T13:58:23.483645,0.0
11,12,0.946354579813443,,2026-01-15T13:58:23.504156,0.0
12,9,0.9416228069143757,,2026-01-15T13:58:23.519663,0.0
13,3,0.9369146928798039,,2026-01-15T13:58:23.525665,0.0
14,6,0.9322301194154049,,2026-01-15T13:58:23.538675,0.0
15,7,0.9275689688183278,,2026-01-15T13:58:23.552709,0.0
16,12,0.9229311239742362,,2026-01-15T13:58:23.575985,0.0
17,4,0.918316468354365,,2026-01-15T13:58:23.583991,0.0
18,7,0.9137248860125932,,2026-01-15T13:58:23.597973,0.0
19,4,0.9091562615825302,,2026-01-15T13:58:23.606583,0.0
20,6,0.9046104802746175,0.004013021294958889,2026-01-15T13:58:23.617660,0.0
21,11,0.9000874278732445,0.002258968965616077,2026-01-15T13:58:23.639437,0.0
22,16,0.8955869907338783,0.0019655143504496665,2026-01-15T13:58:23.672114,0.0
23,4,0.8911090557802088,0.0019515243673231453,2026-01-15T13:58:23.679115,0.0
24,2,0.8866535105013078,0.001947400935459882,2026-01-15T13:58:23.683116,0.0
25,10,0.8822202429488013,0.0019751140335574745,2026-01-15T13:58:23.699418,0.0
26,13,0.8778091417340573,0.0019786431326065212,2026-01-15T13:58:23.721176,0.0
27,11,0.8734200960253871,0.0019702655426226557,2026-01-15T13:58:23.740183,0.0
28,5,0.8690529955452602,0.0019895134319085628,2026-01-15T13:58:23.749479,0.0
29,3,0.8647077305675338,0.001988500087754801,2026-01-15T13:58:23.756103,0.0
30,14,0.8603841919146962,0.002020643345313147,2026-01-15T13:58:23.780615,0.0
31,8,0.8560822709551227,0.002033528994070366,2026-01-15T13:58:23.796853,0.0
32,2,0.851801859600347,0.002032215646468103,2026-01-15T13:58:23.800360,0.0
33,17,0.8475428503023453,0.002053489903919399,2026-01-15T13:58:23.829873,0.0
34,3,0.8433051360508336,0.002035716681275517,2026-01-15T13:58:23.834877,0.0
35,7,0.8390886103705794,0.002021338400663808,2026-01-15T13:58:23.848908,0.0
36,9,0.8348931673187264,0.0019754024606663733,2026-01-15T13:58:23.865416,0.0
37,3,0.8307187014821328,0.001961457364959642,2026-01-15T13:58:23.871418,0.0
38,7,0.8265651079747222,0.0019232055894099177,2026-01-15T13:58:23.883424,0.0
39,3,0.8224322824348486,0.001912830885266885,2026-01-15T13:58:23.889424,0.0
40,15,0.8183201210226743,0.0019141614274121822,2026-01-15T13:58:23.915463,0.0
41,22,0.8142285204175609,0.0018888189643621444,2026-01-15T13:58:23.954565,0.0
42,19,0.810157377815473,0.0018708369403611868,2026-01-15T13:58:23.985840,0.0
43,3,0.8061065909263957,0.0018792009027674794,2026-01-15T13:58:23.991123,0.0
44,3,0.8020760579717637,0.0018832770688459277,2026-01-15T13:58:23.997148,0.0
45,25,0.798065677681905,0.0019315872597508133,2026-01-15T13:58:24.039181,0.0
