episode,episode_length,epsilon,loss,timestamp,total_reward
0,3,1.0,,2026-01-15T15:43:57.233203,0.0
1,13,0.995,,2026-01-15T15:43:57.233203,0.0
2,8,0.990025,,2026-01-15T15:43:57.234213,0.0
3,2,0.985074875,,2026-01-15T15:43:57.234213,0.0
4,9,0.9801495006250001,,2026-01-15T15:43:57.234213,0.0
5,2,0.9752487531218751,,2026-01-15T15:43:57.234213,0.0
6,3,0.9703725093562657,,2026-01-15T15:43:57.234213,0.0
7,10,0.9655206468094844,,2026-01-15T15:43:57.234213,0.0
8,12,0.960693043575437,,2026-01-15T15:43:57.234213,0.0
9,8,0.9558895783575597,,2026-01-15T15:43:57.254203,0.0
10,11,0.9511101304657719,,2026-01-15T15:43:57.281227,0.0
11,12,0.946354579813443,,2026-01-15T15:43:57.303231,0.0
12,5,0.9416228069143757,,2026-01-15T15:43:57.312231,0.0
13,3,0.9369146928798039,,2026-01-15T15:43:57.318232,0.0
14,7,0.9322301194154049,,2026-01-15T15:43:57.330737,0.0
15,5,0.9275689688183278,,2026-01-15T15:43:57.339737,0.0
16,6,0.9229311239742362,,2026-01-15T15:43:57.352360,0.0
17,7,0.918316468354365,,2026-01-15T15:43:57.366363,0.0
18,5,0.9137248860125932,,2026-01-15T15:43:57.373870,0.0
19,5,0.9091562615825302,,2026-01-15T15:43:57.383227,0.0
20,31,0.9046104802746175,0.0036082925480150152,2026-01-15T15:43:57.437064,0.0
21,3,0.9000874278732445,0.003400304189999588,2026-01-15T15:43:57.442065,0.0
22,4,0.8955869907338783,0.0032538174894580153,2026-01-15T15:43:57.449056,0.0
23,5,0.8911090557802088,0.0031593014458485415,2026-01-15T15:43:57.459082,0.0
24,2,0.8866535105013078,0.002888263327185996,2026-01-15T15:43:57.463081,0.0
25,6,0.8822202429488013,0.0018095086410176008,2026-01-15T15:43:57.472609,0.0
26,2,0.8778091417340573,0.0015082668597460724,2026-01-15T15:43:57.477609,0.0
27,7,0.8734200960253871,0.0009226364817004651,2026-01-15T15:43:57.490135,0.0
28,5,0.8690529955452602,0.0007508583000890212,2026-01-15T15:43:57.499135,0.0
29,2,0.8647077305675338,0.0007290078729420202,2026-01-15T15:43:57.502135,0.0
30,5,0.8603841919146962,0.0006748180004797177,2026-01-15T15:43:57.511147,0.0
31,2,0.8560822709551227,0.0006654225668899016,2026-01-15T15:43:57.515148,0.0
32,12,0.851801859600347,0.0005713676606683293,2026-01-15T15:43:57.537309,0.0
33,6,0.8475428503023453,0.0005494635742070386,2026-01-15T15:43:57.547310,0.0
34,7,0.8433051360508336,0.0005278332955640508,2026-01-15T15:43:57.560320,0.0
35,11,0.8390886103705794,0.000499281589727616,2026-01-15T15:43:57.579851,0.0
