episode,episode_length,epsilon,loss,timestamp,total_reward
0,8,1.0,,2026-01-15T15:42:05.435623,0.0
1,2,0.995,,2026-01-15T15:42:05.435623,0.0
2,2,0.990025,,2026-01-15T15:42:05.435623,0.0
3,2,0.985074875,,2026-01-15T15:42:05.435623,0.0
4,7,0.9801495006250001,,2026-01-15T15:42:05.435623,0.0
5,12,0.9752487531218751,,2026-01-15T15:42:05.435623,0.0
6,5,0.9703725093562657,,2026-01-15T15:42:05.435623,0.0
7,8,0.9655206468094844,,2026-01-15T15:42:05.435623,0.0
8,7,0.960693043575437,,2026-01-15T15:42:05.435623,0.0
9,22,0.9558895783575597,,2026-01-15T15:42:05.590556,0.0
10,3,0.9511101304657719,,2026-01-15T15:42:05.596098,0.0
11,23,0.946354579813443,,2026-01-15T15:42:05.641610,0.0
12,3,0.9416228069143757,,2026-01-15T15:42:05.646617,0.0
13,4,0.9369146928798039,,2026-01-15T15:42:05.653627,0.0
14,7,0.9322301194154049,,2026-01-15T15:42:05.665562,0.0
15,6,0.9275689688183278,,2026-01-15T15:42:05.676904,0.0
16,10,0.9229311239742362,,2026-01-15T15:42:05.692903,0.0
17,4,0.918316468354365,,2026-01-15T15:42:05.700905,0.0
18,17,0.9137248860125932,,2026-01-15T15:42:05.732946,0.0
19,4,0.9091562615825302,,2026-01-15T15:42:05.739946,0.0
20,2,0.9046104802746175,,2026-01-15T15:42:05.742946,0.0
21,12,0.9000874278732445,0.0002083766741168347,2026-01-15T15:42:05.762949,0.0
22,20,0.8955869907338783,9.092659152543092e-05,2026-01-15T15:42:05.797205,0.0
23,6,0.8911090557802088,8.138161880765438e-05,2026-01-15T15:42:05.807218,0.0
24,4,0.8866535105013078,7.566447019712542e-05,2026-01-15T15:42:05.814211,0.0
25,5,0.8822202429488013,5.744841676573742e-05,2026-01-15T15:42:05.822736,0.0
26,13,0.8778091417340573,4.680842982565992e-05,2026-01-15T15:42:05.847377,1.0
27,11,0.8734200960253871,0.0007255627090046346,2026-01-15T15:42:05.866397,0.0
28,3,0.8690529955452602,0.0008472281652859693,2026-01-15T15:42:05.871555,0.0
29,3,0.8647077305675338,0.0009564511325618241,2026-01-15T15:42:05.877423,0.0
30,3,0.8603841919146962,0.0009571774614335027,2026-01-15T15:42:05.882421,0.0
31,9,0.8560822709551227,0.0010596319187573045,2026-01-15T15:42:05.899429,0.0
32,2,0.851801859600347,0.0010601061986892546,2026-01-15T15:42:05.903442,0.0
33,5,0.8475428503023453,0.0012315236287906827,2026-01-15T15:42:05.913442,0.0
34,6,0.8433051360508336,0.0014496660332144985,2026-01-15T15:42:05.923829,0.0
35,10,0.8390886103705794,0.0015990977059868782,2026-01-15T15:42:05.942177,0.0
36,3,0.8348931673187264,0.0016012553775203741,2026-01-15T15:42:05.947171,0.0
37,22,0.8307187014821328,0.001696523272671584,2026-01-15T15:42:05.986310,0.0
38,8,0.8265651079747222,0.002089964623191918,2026-01-15T15:42:06.000524,0.0
39,3,0.8224322824348486,0.0022959486037507303,2026-01-15T15:42:06.005530,0.0
40,10,0.8183201210226743,0.0028902782284785642,2026-01-15T15:42:06.022920,1.0
41,4,0.8142285204175609,0.0029929328549405908,2026-01-15T15:42:06.028738,0.0
42,12,0.810157377815473,0.002642835425795056,2026-01-15T15:42:06.049742,0.0
43,8,0.8061065909263957,0.0025273234169435454,2026-01-15T15:42:06.067275,0.0
44,17,0.8020760579717637,0.0025069824044840062,2026-01-15T15:42:06.098374,0.0
45,3,0.798065677681905,0.002476363217974722,2026-01-15T15:42:06.103381,0.0
46,2,0.7940753492934954,0.002493790335902304,2026-01-15T15:42:06.107374,0.0
47,5,0.7901049725470279,0.0025487640072606155,2026-01-15T15:42:06.116381,0.0
48,11,0.7861544476842928,0.0024045928803025163,2026-01-15T15:42:06.134345,0.0
49,15,0.7822236754458713,0.0024362828534049185,2026-01-15T15:42:06.162361,0.0
50,19,0.778312557068642,0.0026876209769488924,2026-01-15T15:42:06.196419,0.0
51,2,0.7744209942832988,0.0026709829457195154,2026-01-15T15:42:06.199565,0.0
52,4,0.7705488893118823,0.002576527079809239,2026-01-15T15:42:06.206815,0.0
53,6,0.7666961448653229,0.002583649664893528,2026-01-15T15:42:06.215218,0.0
54,4,0.7628626641409962,0.0025154117588044754,2026-01-15T15:42:06.222747,0.0
55,2,0.7590483508202912,0.00250742601580896,2026-01-15T15:42:06.226209,0.0
56,11,0.7552531090661897,0.0025134116155913944,2026-01-15T15:42:06.244209,1.0
57,15,0.7514768435208588,0.0023578660691509867,2026-01-15T15:42:06.269562,1.0
58,5,0.7477194593032545,0.0023408668686988677,2026-01-15T15:42:06.277562,0.0
59,6,0.7439808620067382,0.0022917079658600413,2026-01-15T15:42:06.288266,0.0
60,14,0.7402609576967045,0.002243352795285318,2026-01-15T15:42:06.311595,0.0
61,5,0.736559652908221,0.0022599431632806953,2026-01-15T15:42:06.320727,0.0
62,10,0.7328768546436799,0.0022562399537855524,2026-01-15T15:42:06.337333,0.0
63,5,0.7292124703704616,0.0024373302794720077,2026-01-15T15:42:06.345608,0.0
64,4,0.7255664080186093,0.0024804370104993725,2026-01-15T15:42:06.351608,0.0
65,4,0.7219385759785162,0.0027094736275921605,2026-01-15T15:42:06.359077,0.0
66,3,0.7183288830986236,0.0027441118936712885,2026-01-15T15:42:06.364917,0.0
67,5,0.7147372386831305,0.002621315366095587,2026-01-15T15:42:06.373348,0.0
68,11,0.7111635524897149,0.0025285330088536282,2026-01-15T15:42:06.393680,0.0
69,9,0.7076077347272662,0.0025167908196181087,2026-01-15T15:42:06.409692,1.0
70,15,0.7040696960536299,0.002431765192131934,2026-01-15T15:42:06.439852,1.0
71,5,0.7005493475733617,0.002418546283233809,2026-01-15T15:42:06.449850,0.0
72,2,0.697046600835495,0.0023978904809428057,2026-01-15T15:42:06.453898,0.0
73,9,0.6935613678313175,0.0023749280493666446,2026-01-15T15:42:06.470482,1.0
74,5,0.6900935609921609,0.002336394579606349,2026-01-15T15:42:06.479491,0.0
75,5,0.6866430931872001,0.002331338304002202,2026-01-15T15:42:06.488458,0.0
76,9,0.6832098777212641,0.002304350873018848,2026-01-15T15:42:06.504472,0.0
77,8,0.6797938283326578,0.002293555389867379,2026-01-15T15:42:06.517831,0.0
78,5,0.6763948591909945,0.0022885362800639086,2026-01-15T15:42:06.526831,0.0
79,2,0.6730128848950395,0.0024717273746114187,2026-01-15T15:42:06.529831,0.0
80,3,0.6696478204705644,0.0027266433412637524,2026-01-15T15:42:06.535371,0.0
81,2,0.6662995813682115,0.0028245136743839795,2026-01-15T15:42:06.538371,0.0
82,7,0.6629680834613705,0.0030808470115493945,2026-01-15T15:42:06.550671,0.0
83,33,0.6596532430440636,0.0035404819964219313,2026-01-15T15:42:06.609422,0.0
84,19,0.6563549768288433,0.003942601524684051,2026-01-15T15:42:06.644044,0.0
85,20,0.653073201944699,0.004065929818277709,2026-01-15T15:42:06.687296,1.0
86,7,0.6498078359349755,0.00415661611676569,2026-01-15T15:42:06.702594,0.0
87,12,0.6465587967553006,0.0058175248758198,2026-01-15T15:42:06.726043,1.0
88,10,0.6433260027715241,0.00672997526016843,2026-01-15T15:42:06.746045,0.0
89,3,0.6401093727576664,0.006902485919490573,2026-01-15T15:42:06.751045,0.0
90,9,0.6369088258938781,0.007127623307824251,2026-01-15T15:42:06.768408,0.0
91,9,0.6337242817644086,0.00706939821371634,2026-01-15T15:42:06.783033,0.0
92,17,0.6305556603555866,0.006958652843095479,2026-01-15T15:42:06.814039,0.0
93,5,0.6274028820538087,0.00693275742152764,2026-01-15T15:42:06.822545,0.0
94,13,0.6242658676435396,0.006687772447112366,2026-01-15T15:42:06.844157,0.0
95,3,0.6211445383053219,0.006683640052797273,2026-01-15T15:42:06.851645,0.0
96,6,0.6180388156137953,0.0066868066499228005,2026-01-15T15:42:06.864650,0.0
97,18,0.6149486215357263,0.0064344203100154115,2026-01-15T15:42:06.897499,0.0
98,8,0.6118738784280476,0.008162700541333834,2026-01-15T15:42:06.911504,0.0
99,11,0.6088145090359074,0.008871316423656026,2026-01-15T15:42:06.931193,0.0
100,12,0.6057704364907278,0.009015105932967345,2026-01-15T15:42:06.953196,0.0
101,23,0.6027415843082742,0.00902562439518988,2026-01-15T15:42:07.000736,0.0
102,8,0.5997278763867329,0.009030100667923762,2026-01-15T15:42:07.017919,0.0
103,4,0.5967292370047992,0.00902885258711649,2026-01-15T15:42:07.025924,0.0
104,3,0.5937455908197752,0.009030655997094073,2026-01-15T15:42:07.034201,0.0
105,8,0.5907768628656763,0.009030171933636666,2026-01-15T15:42:07.052958,0.0
